image_name,timestamp
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 293.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 294.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 295.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 296.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 297.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 298.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 299.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 300.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 301.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 302.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 303.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 304.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 305.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 306.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 307.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 308.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 309.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 310.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 311.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 312.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 313.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 314.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 315.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 316.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 317.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 318.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 319.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 320.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 321.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 322.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 323.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 324.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 325.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 326.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 327.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 328.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 329.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 330.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 331.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 332.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 333.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 334.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 335.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 336.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 337.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 338.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 339.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 340.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 341.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 342.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 343.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 344.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 345.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 346.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 347.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 348.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131425-009280 349.jpg,2022-06-03T13:14:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 001.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 002.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 003.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 004.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 005.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 006.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 007.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 008.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 009.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 010.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 011.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 012.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 013.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 014.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 015.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 016.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 017.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 018.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 019.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 020.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 021.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 022.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 023.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 024.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 025.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 026.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 027.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 028.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 029.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 030.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 031.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 032.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 033.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 034.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 035.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 036.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 037.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 038.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 039.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 040.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 041.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 042.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 043.jpg,2022-06-03T13:16:25Z
